LO_id,status,first_score,best_score,attempts,active_time
lo130,notStarted,,,0,0
lo131,notStarted,,,0,0
lo132,notStarted,,,0,0
lo133,notStarted,,,0,0
lo134,notStarted,,,0,0
lo135,notStarted,,,0,0
lo136,notStarted,,,0,0
lo137,notStarted,,,0,0
lo138,notStarted,,,0,0
lo139,notStarted,,,0,0
lo140,notStarted,,,0,0
lo141,notStarted,,,0,0
lo142,notStarted,,,0,0
lo143,notStarted,,,0,0
lo144,notStarted,,,0,0
lo145,notStarted,,,0,0
lo146,notStarted,,,0,0
lo147,notStarted,,,0,0
lo148,notStarted,,,0,0
lo149,notStarted,,,0,0
lo150,notStarted,,,0,0
lo151,notStarted,,,0,0
lo152,notStarted,,,0,0
lo153,notStarted,,,0,0
lo154,notStarted,,,0,0
lo155,notStarted,,,0,0
lo156,notStarted,,,0,0
lo157,notStarted,,,0,0
lo158,notStarted,,,0,0
lo159,notStarted,,,0,0
lo160,notStarted,,,0,0
lo161,notStarted,,,0,0
lo162,notStarted,,,0,0
lo163,notStarted,,,0,0
lo164,notStarted,,,0,0
lo165,notStarted,,,0,0
lo166,notStarted,,,0,0
lo167,notStarted,,,0,0
lo168,notStarted,,,0,0
lo169,notStarted,,,0,0
lo170,notStarted,,,0,0
lo171,notStarted,,,0,0
lo172,notStarted,,,0,0
lo173,notStarted,,,0,0
lo174,notStarted,,,0,0
lo175,notStarted,,,0,0
lo176,notStarted,,,0,0
lo177,notStarted,,,0,0
lo178,notStarted,,,0,0
lo179,notStarted,,,0,0
lo180,notStarted,,,0,0
lo181,notStarted,,,0,0
lo182,notStarted,,,0,0
lo183,notStarted,,,0,0
lo184,notStarted,,,0,0
lo185,notStarted,,,0,0
lo186,notStarted,,,0,0
lo187,notStarted,,,0,0
lo188,notStarted,,,0,0
lo189,notStarted,,,0,0
lo190,notStarted,,,0,0
lo191,notStarted,,,0,0
lo192,notStarted,,,0,0
lo193,notStarted,,,0,0
lo194,notStarted,,,0,0
lo195,notStarted,,,0,0
lo196,notStarted,,,0,0
lo197,notStarted,,,0,0
lo198,notStarted,,,0,0
lo199,notStarted,,,0,0
lo200,notStarted,,,0,0
lo201,notStarted,,,0,0
lo202,notStarted,,,0,0
lo203,notStarted,,,0,0
lo204,notStarted,,,0,0
lo205,notStarted,,,0,0
lo206,notStarted,,,0,0
lo207,notStarted,,,0,0
lo208,notStarted,,,0,0
lo209,notStarted,,,0,0
lo210,notStarted,,,0,0
lo211,notStarted,,,0,0
lo212,notStarted,,,0,0
lo213,notStarted,,,0,0
lo214,notStarted,,,0,0
lo215,notStarted,,,0,0
lo216,notStarted,,,0,0
lo217,notStarted,,,0,0
lo218,notStarted,,,0,0
lo219,notStarted,,,0,0
lo220,notStarted,,,0,0
lo221,notStarted,,,0,0
lo222,notStarted,,,0,0
lo223,notStarted,,,0,0
lo224,notStarted,,,0,0
lo225,notStarted,,,0,0
lo226,notStarted,,,0,0
lo227,notStarted,,,0,0
lo228,notStarted,,,0,0
lo229,notStarted,,,0,0
lo230,notStarted,,,0,0
lo231,notStarted,,,0,0
lo232,notStarted,,,0,0
lo233,notStarted,,,0,0
lo234,notStarted,,,0,0
lo235,notStarted,,,0,0
lo236,notStarted,,,0,0
lo237,notStarted,,,0,0
lo238,notStarted,,,0,0
lo239,notStarted,,,0,0
lo240,notStarted,,,0,0
lo241,notStarted,,,0,0
lo242,notStarted,,,0,0
lo243,notStarted,,,0,0
lo244,notStarted,,,0,0
lo245,notStarted,,,0,0
lo246,notStarted,,,0,0
lo247,notStarted,,,0,0
lo248,notStarted,,,0,0
lo249,notStarted,,,0,0
lo250,notStarted,,,0,0
lo251,notStarted,,,0,0
lo252,notStarted,,,0,0
lo253,notStarted,,,0,0
lo254,notStarted,,,0,0
lo255,notStarted,,,0,0
lo256,notStarted,,,0,0
lo257,notStarted,,,0,0
lo258,notStarted,,,0,0
lo259,notStarted,,,0,0
lo260,notStarted,,,0,0
lo261,notStarted,,,0,0
lo262,notStarted,,,0,0
lo263,notStarted,,,0,0
lo264,notStarted,,,0,0
lo265,notStarted,,,0,0
lo266,notStarted,,,0,0
lo267,notStarted,,,0,0
lo268,notStarted,,,0,0
lo269,notStarted,,,0,0
lo270,notStarted,,,0,0
lo271,notStarted,,,0,0
lo272,notStarted,,,0,0
lo273,notStarted,,,0,0
lo274,notStarted,,,0,0
lo275,notStarted,,,0,0
lo276,notStarted,,,0,0
lo277,notStarted,,,0,0
lo278,notStarted,,,0,0
lo279,notStarted,,,0,0
lo280,notStarted,,,0,0
lo281,notStarted,,,0,0
lo282,notStarted,,,0,0
lo283,notStarted,,,0,0
lo284,notStarted,,,0,0
lo285,notStarted,,,0,0
lo286,notStarted,,,0,0
lo287,notStarted,,,0,0
lo288,notStarted,,,0,0
lo289,notStarted,,,0,0
lo290,notStarted,,,0,0
lo291,notStarted,,,0,0
lo292,notStarted,,,0,0
lo293,notStarted,,,0,0
lo294,notStarted,,,0,0
lo295,notStarted,,,0,0
lo296,notStarted,,,0,0
lo297,notStarted,,,0,0
lo298,notStarted,,,0,0
lo299,notStarted,,,0,0
lo300,notStarted,,,0,0
lo301,notStarted,,,0,0
lo302,notStarted,,,0,0
lo303,notStarted,,,0,0
lo304,notStarted,,,0,0
lo305,notStarted,,,0,0
lo306,notStarted,,,0,0
lo307,notStarted,,,0,0
lo308,notStarted,,,0,0
lo309,notStarted,,,0,0
lo310,notStarted,,,0,0
lo311,notStarted,,,0,0
lo312,notStarted,,,0,0
lo313,notStarted,,,0,0
lo314,notStarted,,,0,0
lo315,notStarted,,,0,0
lo316,notStarted,,,0,0
lo317,notStarted,,,0,0
lo318,notStarted,,,0,0
lo319,notStarted,,,0,0
lo320,notStarted,,,0,0
lo321,notStarted,,,0,0
lo322,notStarted,,,0,0
lo323,notStarted,,,0,0
lo324,notStarted,,,0,0
lo325,notStarted,,,0,0
lo326,notStarted,,,0,0
lo327,notStarted,,,0,0
lo328,notStarted,,,0,0
lo329,notStarted,,,0,0
lo330,notStarted,,,0,0
lo331,notStarted,,,0,0
lo332,notStarted,,,0,0
lo333,notStarted,,,0,0
lo334,notStarted,,,0,0
lo335,notStarted,,,0,0
lo336,notStarted,,,0,0
lo337,notStarted,,,0,0
lo338,notStarted,,,0,0
lo339,completed,,,0,1073
lo340,notStarted,,,0,0
lo341,completed,,,0,809
lo342,notStarted,,,0,0
lo343,notStarted,,,0,0
